kbb_price,trade_in_value,accepted
6755,2692,1
19084,11151,0
13121,4901,0
12930,6167,1
16225,5689,0
15304,8386,0
10220,7125,1
12413,4193,0
7496,2030,0
13343,6278,0
9660,4898,0
9432,2291,0
12342,7291,0
14040,3194,0
9779,3744,0
11481,3058,0
14194,5995,0
8993,1855,0
15191,4268,0
10070,3358,0
16072,4880,0
14664,6423,0
6186,3126,1
10255,3402,0
14411,9733,1
16715,10292,0
10167,6696,1
12366,5505,0
11113,7201,1
17359,12601,1
12278,8129,1
11663,5149,1
14207,9564,1
8353,4358,0
16719,0,1
12473,4916,0
12112,6455,0
10292,6024,0
7127,4654,0
9197,882,0
15820,3477,0
14299,4090,0
8679,4550,0
14755,6498,1
10230,2539,0
16931,3561,0
12340,5593,1
11936,4297,0
14459,9409,0
10624,6582,0
11332,4079,0
13090,3349,0
12980,8750,1
6932,3681,0
9534,2442,0
8860,5018,0
9800,4797,1
12125,8789,1
7719,6036,1
11759,3962,0
9987,6028,0
10903,6175,0
14076,8209,0
15870,7259,0
12961,5043,0
15264,3317,0
16911,13412,1
8572,4103,0
13873,4135,1
8997,2842,0
11332,7441,1
13811,3044,0
11364,8834,1
7613,1904,0
5870,2138,0
13034,3856,0
11460,6468,0
15253,7878,0
11718,5271,0
10708,6302,0
9535,7465,1
13451,2730,0
9955,2245,0
14962,7017,0
10923,8070,0
20096,13208,0
13125,3727,0
13794,4925,1
19989,10027,0
8513,3848,0
16603,13121,1
8867,4582,0
11816,9152,0
17582,9180,1
9737,4109,0
10375,7406,1
11558,2946,0
15027,10917,0
13853,3183,0
14307,11073,0
12975,0,0
14474,9850,1
10766,2629,0
12442,8920,1
13844,6036,0
13557,4209,0
13048,3836,0
8351,2732,0
12374,4716,1
9302,2892,0
11704,5992,0
9522,6696,0
6068,4529,0
12901,10114,1
10287,3850,0
13081,4492,0
15193,4338,0
11095,4977,1
13792,4207,0
12356,4005,0
9883,5972,0
11120,4539,1
11996,5235,0
13246,8302,0
11781,4351,1
13309,3274,0
10914,4311,0
15670,10788,1
12109,7158,0
13578,9856,0
12646,9296,1
9791,6082,0
16776,4984,0
14192,7631,1
7898,1751,0
14149,5713,0
13319,8273,1
14254,6274,0
8440,6143,1
6352,3673,0
14676,3320,0
12689,3196,0
12916,3952,0
9571,5822,1
7205,1970,0
14018,4483,1
11806,5114,0
12490,2362,1
9857,3440,0
15646,10463,1
13689,5761,0
9904,2619,0
14976,5295,0
12886,6774,1
10340,8048,1
13856,7435,1
14084,3228,0
6092,3889,1
15603,6314,0
12313,9324,1
7252,4190,0
10057,6253,1
7903,2312,0
15689,6707,0
8871,2057,0
11436,3846,0
15518,10370,1
17592,6515,0
12691,5095,0
16127,6068,0
11144,4153,0
10983,8516,0
6910,5275,1
19509,12332,1
14666,3315,0
6007,1767,0
15282,4457,0
13300,8092,1
12701,9151,1
12597,5413,0
13349,4341,0
15767,4048,0
10212,6959,0
19368,6266,0
8185,2842,0
10006,2533,0
15131,11323,0
14126,3578,0
12584,5000,0
11379,4017,0
13867,10136,1
11644,4204,0
10488,5345,0
10721,7477,1
8205,5269,1
14761,8784,0
11740,7911,0
13438,10619,1
12175,6988,0
14077,6512,0
13361,5238,0
9173,3236,0
9254,2128,0
14809,10398,1
14798,8955,0
11828,8521,1
13237,5528,0
12809,1926,0
13543,5560,0
12593,7786,0
12619,5080,0
16290,1402,1
7005,3278,0
11456,3325,0
11034,2532,1
10072,5079,1
7364,1579,0
15156,7666,0
9809,3991,0
6941,3059,0
16927,3918,0
8236,2249,0
11974,6311,0
10699,5372,0
8154,3500,0
12189,5333,0
14178,4657,0
12002,5603,0
14005,6912,0
13254,6440,0
16052,3280,0
5672,1148,0
11725,5751,0
11040,5502,0
8883,2248,0
18937,13174,1
10155,5685,0
14251,6798,0
13210,7589,1
6918,3126,0
12676,4046,1
11000,4584,1
11777,4219,0
10811,5802,0
15148,6849,1
12556,5420,1
12319,2773,0
10435,5354,0
12855,10125,1
6705,4676,0
11035,4591,0
13258,9294,1
16496,11352,0
10509,2747,0
15317,3202,0
9247,7279,0
8851,5781,0
12906,4731,0
12777,9971,1
12779,0,0
10080,3634,0
